post_id,locations,trip_template,location_count
212,"['丽池公园', '阿尔卡拉门', '太阳门广场', '马德里王宫', '普拉多博物馆', '马约尔广场', '圣米盖尔市场', '格兰大道']",丽池公园|阿尔卡拉门|太阳门广场|马德里王宫|普拉多博物馆|马约尔广场|圣米盖尔市场|格兰大道,8
213,[],,0
214,[],,0
215,"['丽池公园', '水晶宫', '太阳门广场', '马德里王宫', '普拉多博物馆', '索菲亚王后艺术中心', '马约尔广场']",丽池公园|水晶宫|太阳门广场|马德里王宫|普拉多博物馆|索菲亚王后艺术中心|马约尔广场,7
216,"['丽池公园', '水晶宫', '太阳门广场', '马德里王宫', '普拉多博物馆']",丽池公园|水晶宫|太阳门广场|马德里王宫|普拉多博物馆,5
217,['西班牙广场'],西班牙广场,1
218,[],,0
219,[],,0
220,"['丽池公园', '玫瑰园', '普拉多博物馆']",丽池公园|玫瑰园|普拉多博物馆,3
221,"['普拉多博物馆', '提森博物馆', '托莱多']",普拉多博物馆|提森博物馆|托莱多,3
222,[],,0
223,"['丽池公园', '水晶宫', '马德里王宫', '普拉多博物馆', '索菲亚王后艺术中心', '提森博物馆']",丽池公园|水晶宫|马德里王宫|普拉多博物馆|索菲亚王后艺术中心|提森博物馆,6
224,[],,0
225,[],,0
226,[],,0
227,['太阳门广场'],太阳门广场,1
228,[],,0
229,"['普拉多博物馆', '索菲亚王后艺术中心', '提森博物馆']",普拉多博物馆|索菲亚王后艺术中心|提森博物馆,3
230,[],,0
231,[],,0
232,[],,0
233,"['丽池公园', '玫瑰园']",丽池公园|玫瑰园,2
234,[],,0
235,[],,0
236,[],,0
237,"['丽池公园', '阿尔卡拉门', '太阳门广场', '马德里王宫', '普拉多博物馆', '马约尔广场', '德波神庙', '西班牙广场']",丽池公园|阿尔卡拉门|太阳门广场|马德里王宫|普拉多博物馆|马约尔广场|德波神庙|西班牙广场,8
238,[],,0
239,[],,0
240,[],,0
241,"['丽池公园', '阿尔卡拉门', '西贝莱斯广场', '太阳门广场', '马德里王宫', '普拉多博物馆', '索菲亚王后艺术中心', '马约尔广场', '圣米盖尔市场', '皇家歌剧院', '德波神庙', '西班牙广场', '托莱多']",丽池公园|阿尔卡拉门|西贝莱斯广场|太阳门广场|马德里王宫|普拉多博物馆|索菲亚王后艺术中心|马约尔广场|圣米盖尔市场|皇家歌剧院|德波神庙|西班牙广场|托莱多,13
242,"['丽池公园', '水晶宫', '西贝莱斯广场', '太阳门广场', '马德里王宫', '普拉多博物馆', '马约尔广场', '圣米盖尔市场', '德波神庙', '西班牙广场', '阿穆德纳圣母主教座堂', '塞万提斯雕像']",丽池公园|水晶宫|西贝莱斯广场|太阳门广场|马德里王宫|普拉多博物馆|马约尔广场|圣米盖尔市场|德波神庙|西班牙广场|阿穆德纳圣母主教座堂|塞万提斯雕像,12
243,"['丽池公园', '太阳门广场', '普拉多博物馆', '索菲亚王后艺术中心', '马约尔广场', '圣米盖尔市场', '德波神庙', '西班牙广场']",丽池公园|太阳门广场|普拉多博物馆|索菲亚王后艺术中心|马约尔广场|圣米盖尔市场|德波神庙|西班牙广场,8
244,"['丽池公园', '太阳门广场', '普拉多博物馆', '马约尔广场', '圣米盖尔市场', '格兰大道', '阿穆德纳圣母主教座堂']",丽池公园|太阳门广场|普拉多博物馆|马约尔广场|圣米盖尔市场|格兰大道|阿穆德纳圣母主教座堂,7
245,"['丽池公园', '水晶宫', '西贝莱斯广场', '太阳门广场', '马德里王宫', '普拉多博物馆', '索菲亚王后艺术中心', '马约尔广场', '圣米盖尔市场', '德波神庙', '西班牙广场', '格兰大道', '阿穆德纳圣母主教座堂', '塞万提斯雕像']",丽池公园|水晶宫|西贝莱斯广场|太阳门广场|马德里王宫|普拉多博物馆|索菲亚王后艺术中心|马约尔广场|圣米盖尔市场|德波神庙|西班牙广场|格兰大道|阿穆德纳圣母主教座堂|塞万提斯雕像,14
246,"['丽池公园', '太阳门广场', '马德里王宫', '普拉多博物馆']",丽池公园|太阳门广场|马德里王宫|普拉多博物馆,4
247,"['丽池公园', '水晶宫', '阿尔卡拉门', '西贝莱斯广场', '太阳门广场', '马德里王宫', '普拉多博物馆', '马约尔广场', '圣米盖尔市场', '德波神庙']",丽池公园|水晶宫|阿尔卡拉门|西贝莱斯广场|太阳门广场|马德里王宫|普拉多博物馆|马约尔广场|圣米盖尔市场|德波神庙,10
248,"['丽池公园', '阿尔卡拉门', '太阳门广场', '马德里王宫', '普拉多博物馆', '索菲亚王后艺术中心', '马约尔广场', '圣米盖尔市场', '德波神庙', '西班牙广场']",丽池公园|阿尔卡拉门|太阳门广场|马德里王宫|普拉多博物馆|索菲亚王后艺术中心|马约尔广场|圣米盖尔市场|德波神庙|西班牙广场,10
249,['马约尔广场'],马约尔广场,1
250,[],,0
251,['马约尔广场'],马约尔广场,1
252,"['丽池公园', '水晶宫', '阿尔卡拉门', '西贝莱斯广场', '太阳门广场', '马德里王宫', '普拉多博物馆', '索菲亚王后艺术中心', '马约尔广场', '圣米盖尔市场', '皇家歌剧院', '德波神庙', '西班牙广场', '提森博物馆', '阿穆德纳圣母主教座堂', '塞万提斯雕像']",丽池公园|水晶宫|阿尔卡拉门|西贝莱斯广场|太阳门广场|马德里王宫|普拉多博物馆|索菲亚王后艺术中心|马约尔广场|圣米盖尔市场|皇家歌剧院|德波神庙|西班牙广场|提森博物馆|阿穆德纳圣母主教座堂|塞万提斯雕像,16
253,"['马约尔广场', '格兰大道']",马约尔广场|格兰大道,2
254,"['丽池公园', '水晶宫', '玫瑰园', '太阳门广场', '马德里王宫', '普拉多博物馆', '马约尔广场', '格兰大道']",丽池公园|水晶宫|玫瑰园|太阳门广场|马德里王宫|普拉多博物馆|马约尔广场|格兰大道,8
255,"['丽池公园', '玫瑰园', '阿尔卡拉门', '太阳门广场', '马德里王宫', '普拉多博物馆', '马约尔广场', '圣米盖尔市场']",丽池公园|玫瑰园|阿尔卡拉门|太阳门广场|马德里王宫|普拉多博物馆|马约尔广场|圣米盖尔市场,8
256,"['丽池公园', '太阳门广场', '马德里王宫', '普拉多博物馆', '索菲亚王后艺术中心', '马约尔广场', '圣米盖尔市场']",丽池公园|太阳门广场|马德里王宫|普拉多博物馆|索菲亚王后艺术中心|马约尔广场|圣米盖尔市场,7
257,"['丽池公园', '水晶宫', '玫瑰园']",丽池公园|水晶宫|玫瑰园,3
258,"['丽池公园', '水晶宫', '阿尔卡拉门', '太阳门广场', '马德里王宫', '普拉多博物馆', '索菲亚王后艺术中心', '马约尔广场', '圣米盖尔市场', '德波神庙', '西班牙广场']",丽池公园|水晶宫|阿尔卡拉门|太阳门广场|马德里王宫|普拉多博物馆|索菲亚王后艺术中心|马约尔广场|圣米盖尔市场|德波神庙|西班牙广场,11
259,"['丽池公园', '水晶宫', '太阳门广场', '马德里王宫', '普拉多博物馆', '马约尔广场', '圣米盖尔市场', '西班牙广场', '大都会大厦', '格兰大道', '塞万提斯雕像']",丽池公园|水晶宫|太阳门广场|马德里王宫|普拉多博物馆|马约尔广场|圣米盖尔市场|西班牙广场|大都会大厦|格兰大道|塞万提斯雕像,11
260,[],,0
261,"['丽池公园', '太阳门广场', '马德里王宫', '普拉多博物馆', '索菲亚王后艺术中心', '圣米盖尔市场']",丽池公园|太阳门广场|马德里王宫|普拉多博物馆|索菲亚王后艺术中心|圣米盖尔市场,6
262,"['丽池公园', '阿尔卡拉门', '太阳门广场', '普拉多博物馆', '索菲亚王后艺术中心', '马约尔广场', '皇家歌剧院', '德波神庙', '提森博物馆', '格兰大道', '阿穆德纳圣母主教座堂']",丽池公园|阿尔卡拉门|太阳门广场|普拉多博物馆|索菲亚王后艺术中心|马约尔广场|皇家歌剧院|德波神庙|提森博物馆|格兰大道|阿穆德纳圣母主教座堂,11
263,"['丽池公园', '水晶宫', '阿尔卡拉门', '太阳门广场', '马德里王宫', '普拉多博物馆', '索菲亚王后艺术中心', '马约尔广场', '圣米盖尔市场']",丽池公园|水晶宫|阿尔卡拉门|太阳门广场|马德里王宫|普拉多博物馆|索菲亚王后艺术中心|马约尔广场|圣米盖尔市场,9
264,['德波神庙'],德波神庙,1
265,['托莱多'],托莱多,1
266,"['丽池公园', '玫瑰园', '太阳门广场', '马德里王宫', '普拉多博物馆', '索菲亚王后艺术中心', '马约尔广场']",丽池公园|玫瑰园|太阳门广场|马德里王宫|普拉多博物馆|索菲亚王后艺术中心|马约尔广场,7
267,"['丽池公园', '玫瑰园', '太阳门广场', '马德里王宫', '普拉多博物馆', '马约尔广场', '圣米盖尔市场']",丽池公园|玫瑰园|太阳门广场|马德里王宫|普拉多博物馆|马约尔广场|圣米盖尔市场,7
268,"['丽池公园', '阿尔卡拉门', '太阳门广场', '马德里王宫', '普拉多博物馆']",丽池公园|阿尔卡拉门|太阳门广场|马德里王宫|普拉多博物馆,5
269,"['太阳门广场', '马德里王宫']",太阳门广场|马德里王宫,2
270,"['丽池公园', '阿尔卡拉门', '太阳门广场', '马德里王宫', '普拉多博物馆', '索菲亚王后艺术中心', '马约尔广场', '圣米盖尔市场', '德波神庙', '西班牙广场']",丽池公园|阿尔卡拉门|太阳门广场|马德里王宫|普拉多博物馆|索菲亚王后艺术中心|马约尔广场|圣米盖尔市场|德波神庙|西班牙广场,10
271,"['马约尔广场', '德波神庙', '格兰大道']",马约尔广场|德波神庙|格兰大道,3
272,"['丽池公园', '水晶宫', '玫瑰园', '太阳门广场', '马德里王宫', '普拉多博物馆', '索菲亚王后艺术中心', '马约尔广场', '德波神庙', '格兰大道']",丽池公园|水晶宫|玫瑰园|太阳门广场|马德里王宫|普拉多博物馆|索菲亚王后艺术中心|马约尔广场|德波神庙|格兰大道,10
273,"['丽池公园', '西贝莱斯广场', '太阳门广场', '马德里王宫', '普拉多博物馆', '索菲亚王后艺术中心', '马约尔广场', '圣米盖尔市场', '西班牙广场', '提森博物馆', '格兰大道']",丽池公园|西贝莱斯广场|太阳门广场|马德里王宫|普拉多博物馆|索菲亚王后艺术中心|马约尔广场|圣米盖尔市场|西班牙广场|提森博物馆|格兰大道,11
274,"['马德里王宫', '普拉多博物馆']",马德里王宫|普拉多博物馆,2
275,"['丽池公园', '太阳门广场']",丽池公园|太阳门广场,2
276,"['丽池公园', '水晶宫', '阿尔卡拉门', '太阳门广场', '马德里王宫', '普拉多博物馆', '马约尔广场', '圣米盖尔市场']",丽池公园|水晶宫|阿尔卡拉门|太阳门广场|马德里王宫|普拉多博物馆|马约尔广场|圣米盖尔市场,8
277,"['丽池公园', '圣米盖尔市场']",丽池公园|圣米盖尔市场,2
278,[],,0
279,"['丽池公园', '太阳门广场', '马德里王宫', '索菲亚王后艺术中心', '马约尔广场', '圣米盖尔市场', '德波神庙']",丽池公园|太阳门广场|马德里王宫|索菲亚王后艺术中心|马约尔广场|圣米盖尔市场|德波神庙,7
280,"['丽池公园', '西贝莱斯广场', '太阳门广场', '马德里王宫', '普拉多博物馆', '马约尔广场', '德波神庙', '西班牙广场']",丽池公园|西贝莱斯广场|太阳门广场|马德里王宫|普拉多博物馆|马约尔广场|德波神庙|西班牙广场,8
281,"['丽池公园', '阿尔卡拉门', '西贝莱斯广场', '太阳门广场', '马德里王宫', '普拉多博物馆', '马约尔广场', '圣米盖尔市场', '皇家歌剧院', '德波神庙', '西班牙广场', '塞万提斯雕像']",丽池公园|阿尔卡拉门|西贝莱斯广场|太阳门广场|马德里王宫|普拉多博物馆|马约尔广场|圣米盖尔市场|皇家歌剧院|德波神庙|西班牙广场|塞万提斯雕像,12
282,['丽池公园'],丽池公园,1
283,"['阿尔卡拉门', '太阳门广场', '普拉多博物馆', '马约尔广场', '德波神庙', '西班牙广场', '阿穆德纳圣母主教座堂']",阿尔卡拉门|太阳门广场|普拉多博物馆|马约尔广场|德波神庙|西班牙广场|阿穆德纳圣母主教座堂,7
284,"['丽池公园', '水晶宫', '阿尔卡拉门', '太阳门广场', '马德里王宫', '马约尔广场', '德波神庙', '西班牙广场', '格兰大道', '阿穆德纳圣母主教座堂', '塞万提斯雕像']",丽池公园|水晶宫|阿尔卡拉门|太阳门广场|马德里王宫|马约尔广场|德波神庙|西班牙广场|格兰大道|阿穆德纳圣母主教座堂|塞万提斯雕像,11
285,"['丽池公园', '水晶宫', '玫瑰园', '阿尔卡拉门', '太阳门广场', '普拉多博物馆', '马约尔广场', '格兰大道']",丽池公园|水晶宫|玫瑰园|阿尔卡拉门|太阳门广场|普拉多博物馆|马约尔广场|格兰大道,8
286,"['西班牙广场', '格兰大道']",西班牙广场|格兰大道,2
287,"['阿尔卡拉门', '马德里王宫', '普拉多博物馆', '马约尔广场', '圣米盖尔市场', '德波神庙', '格兰大道']",阿尔卡拉门|马德里王宫|普拉多博物馆|马约尔广场|圣米盖尔市场|德波神庙|格兰大道,7
288,"['丽池公园', '阿尔卡拉门', '西贝莱斯广场', '太阳门广场', '马德里王宫', '普拉多博物馆', '马约尔广场', '圣米盖尔市场', '皇家歌剧院', '德波神庙']",丽池公园|阿尔卡拉门|西贝莱斯广场|太阳门广场|马德里王宫|普拉多博物馆|马约尔广场|圣米盖尔市场|皇家歌剧院|德波神庙,10
289,"['太阳门广场', '马德里王宫', '普拉多博物馆', '马约尔广场', '德波神庙', '阿穆德纳圣母主教座堂']",太阳门广场|马德里王宫|普拉多博物馆|马约尔广场|德波神庙|阿穆德纳圣母主教座堂,6
290,"['丽池公园', '水晶宫', '玫瑰园', '阿尔卡拉门', '西贝莱斯广场', '太阳门广场', '马德里王宫', '普拉多博物馆', '马约尔广场', '圣米盖尔市场', '德波神庙', '西班牙广场', '格兰大道']",丽池公园|水晶宫|玫瑰园|阿尔卡拉门|西贝莱斯广场|太阳门广场|马德里王宫|普拉多博物馆|马约尔广场|圣米盖尔市场|德波神庙|西班牙广场|格兰大道,13
291,"['丽池公园', '马德里王宫', '普拉多博物馆']",丽池公园|马德里王宫|普拉多博物馆,3
292,"['普拉多博物馆', '索菲亚王后艺术中心']",普拉多博物馆|索菲亚王后艺术中心,2
293,"['丽池公园', '西贝莱斯广场', '太阳门广场', '马德里王宫', '普拉多博物馆', '马约尔广场', '格兰大道', '托莱多']",丽池公园|西贝莱斯广场|太阳门广场|马德里王宫|普拉多博物馆|马约尔广场|格兰大道|托莱多,8
294,"['丽池公园', '太阳门广场', '普拉多博物馆', '索菲亚王后艺术中心', '圣米盖尔市场', '西班牙广场']",丽池公园|太阳门广场|普拉多博物馆|索菲亚王后艺术中心|圣米盖尔市场|西班牙广场,6
295,"['丽池公园', '普拉多博物馆']",丽池公园|普拉多博物馆,2
296,"['丽池公园', '太阳门广场', '马德里王宫', '普拉多博物馆', '德波神庙', '西班牙广场', '塞万提斯雕像']",丽池公园|太阳门广场|马德里王宫|普拉多博物馆|德波神庙|西班牙广场|塞万提斯雕像,7
297,"['丽池公园', '玫瑰园', '西贝莱斯广场', '太阳门广场', '马德里王宫', '普拉多博物馆', '马约尔广场', '圣米盖尔市场', '西班牙广场', '塞万提斯雕像']",丽池公园|玫瑰园|西贝莱斯广场|太阳门广场|马德里王宫|普拉多博物馆|马约尔广场|圣米盖尔市场|西班牙广场|塞万提斯雕像,10
298,"['丽池公园', '水晶宫', '圣米盖尔市场', '西班牙广场', '塞万提斯雕像']",丽池公园|水晶宫|圣米盖尔市场|西班牙广场|塞万提斯雕像,5
299,"['马德里王宫', '圣米盖尔市场']",马德里王宫|圣米盖尔市场,2
300,['托莱多'],托莱多,1
301,"['丽池公园', '西贝莱斯广场', '太阳门广场', '普拉多博物馆', '索菲亚王后艺术中心', '马约尔广场', '圣米盖尔市场', '德波神庙', '阿穆德纳圣母主教座堂']",丽池公园|西贝莱斯广场|太阳门广场|普拉多博物馆|索菲亚王后艺术中心|马约尔广场|圣米盖尔市场|德波神庙|阿穆德纳圣母主教座堂,9
302,"['丽池公园', '水晶宫', '玫瑰园']",丽池公园|水晶宫|玫瑰园,3
303,"['丽池公园', '水晶宫', '玫瑰园', '阿尔卡拉门', '太阳门广场', '马德里王宫', '马约尔广场', '圣米盖尔市场']",丽池公园|水晶宫|玫瑰园|阿尔卡拉门|太阳门广场|马德里王宫|马约尔广场|圣米盖尔市场,8
304,"['丽池公园', '太阳门广场', '马德里王宫', '普拉多博物馆', '索菲亚王后艺术中心', '马约尔广场']",丽池公园|太阳门广场|马德里王宫|普拉多博物馆|索菲亚王后艺术中心|马约尔广场,6
305,"['太阳门广场', '马德里王宫', '普拉多博物馆']",太阳门广场|马德里王宫|普拉多博物馆,3
306,['丽池公园'],丽池公园,1
307,"['丽池公园', '玫瑰园', '太阳门广场', '马德里王宫', '普拉多博物馆', '索菲亚王后艺术中心', '马约尔广场', '圣米盖尔市场', '德波神庙']",丽池公园|玫瑰园|太阳门广场|马德里王宫|普拉多博物馆|索菲亚王后艺术中心|马约尔广场|圣米盖尔市场|德波神庙,9
308,"['丽池公园', '圣米盖尔市场']",丽池公园|圣米盖尔市场,2
309,[],,0
310,[],,0
311,['丽池公园'],丽池公园,1
312,['丽池公园'],丽池公园,1
